gene_id	log2FC_RNA	lfcSE_RNA	pvalue_RNA	padj_RNA	baseMean_counts_RNA	log2FC_basis_RNA	TPM_RNA_NitrogenPlus	TPM_RNA_NitrogenMinus	RPKM_RNA_NitrogenPlus	RPKM_RNA_NitrogenMinus	FPKM_RNA_NitrogenPlus	FPKM_RNA_NitrogenMinus
MM_RS10385	-1.82042593011103	0.461554985072231	8.00952247064072e-05	0.00118214618687049	204.681011083057	raw_counts / DESeq2 median-of-ratios	0.302	0.075	64.606	16.171	64.606	16.171
MM_RS15095	2.49902862317006	0.636003361729135	8.52042988262788e-05	0.00124983729137198	39.3277933581075	raw_counts / DESeq2 median-of-ratios	0.049	0.258	10.429	55.151	10.429	55.151
MM_RS11020	-2.09760934833419	0.540489793162785	0.000104052806579684	0.00151701378373186	197.809391743292	raw_counts / DESeq2 median-of-ratios	2.225	0.54	473.015	112.343	473.015	112.343
MM_RS11090	-1.95672311241326	0.506116510396813	0.000110566263824457	0.00160220567760167	199.096793664088	raw_counts / DESeq2 median-of-ratios	1.923	0.488	411.865	102.322	411.865	102.322
MM_RS12580	-1.90221345585098	0.492875056039378	0.000113654939512748	0.00163288945940127	183.506519914855	raw_counts / DESeq2 median-of-ratios	0.56	0.14	120.269	29.75	120.269	29.75
MM_RS15830	-1.8005476637368	0.466776551649186	0.000114595730798671	0.00163288945940127	110.947498700073	raw_counts / DESeq2 median-of-ratios	0.438	0.114	93.332	24.516	93.332	24.516
MM_RS02720	-1.66021484866529	0.430429018296601	0.000114732509067091	0.00163288945940127	205.250667873211	raw_counts / DESeq2 median-of-ratios	0.421	0.129	89.601	27.144	89.601	27.144
MM_RS07465	1.85480892162822	0.481653913171232	0.000117676698449338	0.00166488157391933	1268.04814021167	raw_counts / DESeq2 median-of-ratios	0.795	2.751	166.912	586.74	166.912	586.74
MM_RS12065	2.02777383643839	0.528115179475433	0.000123213265887807	0.00173295834551616	598.22436787752	raw_counts / DESeq2 median-of-ratios	7.589	26.289	1635.063	5686.672	1635.063	5686.672
MM_RS09110	-1.60464379278888	0.418105834213346	0.000124096538265296	0.00173517440346388	538.257962244802	raw_counts / DESeq2 median-of-ratios	5.74	1.873	1219.631	394.085	1219.631	394.085
MM_RS06500	1.95645648601683	0.510595414959924	0.000127252720082958	0.00175948104651232	239.576259341568	raw_counts / DESeq2 median-of-ratios	0.323	1.058	68.301	231.348	68.301	231.348
MM_RS09960	1.72513268341717	0.450236848361011	0.000127306658739704	0.00175948104651232	281.878255621746	raw_counts / DESeq2 median-of-ratios	1.236	3.632	261.199	784.743	261.199	784.743
MM_RS09720	-1.41365295176711	0.369270685115393	0.000129068348085276	0.00177357712799939	2914.44703770005	raw_counts / DESeq2 median-of-ratios	3.901	1.307	831.955	280.923	831.955	280.923
MM_RS08250	-2.26377775037396	0.591734129095438	0.000130418468767704	0.00178188890756331	169.137616408118	raw_counts / DESeq2 median-of-ratios	1.033	0.192	216.51	41.772	216.51	41.772
MM_RS15820	-1.62734264614415	0.427192733949256	0.000139311495702037	0.00189257833081574	166.569123550133	raw_counts / DESeq2 median-of-ratios	0.091	0.027	19.224	5.853	19.224	5.853
MM_RS07460	1.99364714247157	0.523864950228589	0.000141431727937847	0.00190633830872541	293.991786759295	raw_counts / DESeq2 median-of-ratios	0.231	0.821	48.525	177.743	48.525	177.743
MM_RS12860	-1.86402061771481	0.489912935629141	0.000141918953974539	0.00190633830872541	98.1985082926252	raw_counts / DESeq2 median-of-ratios	0.21	0.055	44.847	11.713	44.847	11.713
MM_RS09320	1.8591927099238	0.490506421474765	0.000150433064709728	0.00200941596492156	155.550761426652	raw_counts / DESeq2 median-of-ratios	0.478	1.527	102.436	328.703	102.436	328.703
