gene_id	Ribo_NitrogenMinus_rep1	Ribo_NitrogenMinus_rep2	Ribo_NitrogenPlus_rep1	Ribo_NitrogenPlus_rep2	RNA_NitrogenMinus_rep1	RNA_NitrogenMinus_rep2	RNA_NitrogenPlus_rep1	RNA_NitrogenPlus_rep2
MM_RS00690	87.4698	122.8837	102.4769	151.0514	118.5368	105.5576	100.2693	107.6296
MM_RS00695	199.9311	128.2265	32.2613	33.8175	168.447	157.593	104.1259	91.2808
MM_RS00700	666.9575	1397.8974	503.2756	2465.6707	7779.7549	7386.0588	5325.8445	7435.9775
MM_RS00705	11079.7733	7884.7825	28871.9245	13634.4599	301623.0307	202185.9272	249873.1216	182951.2042
MM_RS00710	1191.7766	2029.1074	1239.2117	3980.6942	5958.032	8969.4229	3328.1708	8092.6541
MM_RS00715	671.6434	1399.4239	488.8529	2463.4162	7792.2324	7073.8462	5341.2706	7437.3399
MM_RS00720	11064.1537	7882.8744	28733.0113	13609.6604	296622.6509	197553.2864	248378.7228	181661.0117
MM_RS00725	1190.9956	2025.6728	1238.0731	3715.4147	5958.032	8975.3698	3310.8165	8110.3653
MM_RS00730	20245.3629	23097.9362	826.6472	831.1587	19833.072	24006.178	1342.0665	618.5295
MM_RS00740	638.0612	730.4329	282.7604	662.0713	1082.4278	1222.0894	1056.6846	1016.3502
MM_RS00745	40.611	34.728	52.7566	83.4165	90.4623	52.0354	119.5519	64.0328
MM_RS00750	60.1355	40.834	84.6383	108.216	68.6265	66.9027	61.7042	89.9184
MM_RS00755	112.4612	138.1487	98.3019	81.162	81.1041	123.3983	217.893	128.0656
MM_RS00760	263.1905	255.6897	486.1961	462.1723	96.701	107.0443	79.0585	76.2944
MM_RS00765	71.0692	75.562	28.4658	51.102	15.5969	20.8142	15.4261	9.5368
MM_RS00770	266.3144	192.7213	658.1296	1253.5016	243.3123	202.1948	445.4273	374.6599
MM_RS00775	172.5967	197.3008	361.7056	594.4363	177.8051	227.4692	206.3234	440.0551
MM_RS00780	322.545	356.0574	227.347	1153.5521	3596.6549	3996.3217	2553.0116	3088.5601
MM_RS00785	122.614	90.0638	96.7838	51.8535	180.9245	132.3187	229.4625	175.7496
MM_RS00790	155.4152	144.6364	109.3087	529.0558	90.4623	89.2036	53.9912	51.7712
MM_RS00795	127.2999	100.7494	89.5724	109.719	115.4174	71.3629	53.9912	68.12
MM_RS00800	24.2104	22.1343	5.6932	9.018	15.5969	26.7611	9.6413	14.9864
MM_RS00805	117.9281	117.9225	131.3223	198.3959	112.298	159.0798	129.1932	137.6024
MM_RS00815	117.9281	107.6186	88.8133	52.605	93.5817	98.124	96.4128	70.8448
MM_RS00820	3.9049	9.159	2.2773	2.2545	0	4.4602	0	4.0872
MM_RS00825	680.2342	254.5448	698.3613	129.258	109.1786	101.0974	102.1976	61.308
MM_RS00830	60.1355	71.3641	45.5453	16.533	87.3429	133.8054	241.0321	242.5071
MM_RS00835	428.7584	317.1315	470.6348	750.7482	336.894	272.071	487.8489	316.0767
MM_RS00840	130.4238	160.2831	95.6451	223.1954	53.0296	84.7434	48.2064	62.6704
MM_RS00845	314.7352	273.6261	762.8838	714.6763	205.8796	221.5223	377.9383	352.8615
MM_RS00850	2.3429	4.9611	28.4658	44.3385	3.1194	11.8938	71.3455	54.496
MM_RS00855	14.8386	8.3958	12.525	15.03	0	2.9735	25.0673	54.496
MM_RS00860	15.6196	13.7385	7.5909	15.03	59.2684	41.6284	28.9238	32.6976
MM_RS00865	96.0606	114.4879	112.3451	101.4525	74.8653	104.0709	86.7715	159.4008
MM_RS00870	69.5073	78.9967	32.6408	38.3265	536.5348	744.8501	113.7671	227.5207
MM_RS00880	76.5361	63.35	69.077	60.12	34.3133	40.1416	25.0673	42.2344
MM_RS00885	146.8244	98.078	159.4085	167.5844	93.5817	74.3363	88.6998	117.1664
MM_RS00890	180.4065	124.4102	226.5879	317.1329	115.4174	127.8585	175.4713	220.7087
MM_RS00895	0.781	0.7633	1.1386	0.7515	6.2388	8.9204	1.9283	5.4496
MM_RS00900	167.9109	72.8906	207.6107	483.2143	96.701	65.416	77.1303	69.4824
MM_RS00905	19.5245	14.8834	38.7135	26.3025	49.9102	34.1947	23.1391	44.9592
MM_RS00910	144.4814	132.0427	147.6427	102.204	199.6409	255.717	187.0409	209.8096
MM_RS00915	82.784	69.0744	107.7905	57.114	127.8949	98.124	179.3279	122.616
MM_RS00930	122.614	119.0674	87.2952	71.3925	102.9398	83.2567	107.9824	83.1064
MM_RS00940	34.3632	70.9825	64.143	33.066	28.0745	31.2213	38.5651	23.1608
MM_RS00945	438.9112	243.4776	291.4899	151.0514	7523.965	3736.1445	13721.4734	2659.4042
MM_RS00950	30279.4031	26826.0443	36119.3203	25456.3024	36718.3218	49255.2596	19635.4362	26448.2651
MM_RS00955	481.0841	715.5494	566.2799	937.8717	5502.6013	6522.2706	4820.6413	4494.5566
MM_RS00960	479200.3916	194892.3909	111900.2465	367806.5211	61779.4889	13150.0987	163124.7171	38709.8623
