gene_id	log2FC_TE_riborex	pvalue_TE_riborex	padj_TE_riborex	baseMean_counts	log2FC_basis	TPM_RNA_NitrogenPlus	TPM_RNA_NitrogenMinus	TPM_Ribo_NitrogenPlus	TPM_Ribo_NitrogenMinus	RPKM_RNA_NitrogenPlus	RPKM_RNA_NitrogenMinus	RPKM_Ribo_NitrogenPlus	RPKM_Ribo_NitrogenMinus	FPKM_RNA_NitrogenPlus	FPKM_RNA_NitrogenMinus	FPKM_Ribo_NitrogenPlus	FPKM_Ribo_NitrogenMinus
MM_RS06330	0.795155505648693	0.24768816541058	0.512956721110555	834.462099560201	raw_counts / DESeq2 median-of-ratios (via riborex)	2.095	3.595	31.338	101.411	448.416	763.165	1925.083	4568.841	448.416	763.165	1925.083	4568.841
MM_RS04740	0.740492389477288	0.247944959552932	0.51308389581245	291.773803996035	raw_counts / DESeq2 median-of-ratios (via riborex)	0.366	0.468	2.428	6.883	77.287	100.316	143.846	301.715	77.287	100.316	143.846	301.715
MM_RS00465	0.891592378193301	0.248971668237978	0.514802835270023	230.604893238732	raw_counts / DESeq2 median-of-ratios (via riborex)	0.164	0.334	1.194	4.153	35.233	70.734	73.376	183.644	35.233	70.734	73.376	183.644
MM_RS08885	-0.88141274874484	0.24998545524407	0.514850908197117	282.513631163348	raw_counts / DESeq2 median-of-ratios (via riborex)	0.144	0.071	0.88	0.825	30.284	15.289	52.382	35.887	30.284	15.289	52.382	35.887
MM_RS09750	-0.84624338342511	0.24994474119227	0.514850908197117	182.476136002557	raw_counts / DESeq2 median-of-ratios (via riborex)	0.156	0.155	1.526	1.492	32.722	32.964	91.71	66.813	32.722	32.964	91.71	66.813
MM_RS19345	-0.791242359063418	0.250171271462118	0.514850908197117	59.4100558194503	raw_counts / DESeq2 median-of-ratios (via riborex)	0.167	0.1	0.724	0.688	35.663	21.884	42.736	31.486	35.663	21.884	42.736	31.486
MM_RS05055	0.778998302827241	0.249982120982742	0.514850908197117	154.962798282124	raw_counts / DESeq2 median-of-ratios (via riborex)	0.238	0.24	0.833	2.199	50.344	52.271	47.662	96.25	50.344	52.271	47.662	96.25
MM_RS07365	0.762310571349634	0.250115524776239	0.514850908197117	251.056766327175	raw_counts / DESeq2 median-of-ratios (via riborex)	0.35	0.718	6.464	17.129	73.856	152.48	373.255	769.026	73.856	152.48	373.255	769.026
MM_RS13605	-0.760208044744435	0.249702499129999	0.514850908197117	122.626468852098	raw_counts / DESeq2 median-of-ratios (via riborex)	0.059	0.021	0.461	0.458	12.549	4.488	27.128	19.833	12.549	4.488	27.128	19.833
MM_RS00780	-1.03595862990168	0.252486054397966	0.518946653496085	1783.01018105797	raw_counts / DESeq2 median-of-ratios (via riborex)	875.401	1070.935	1198.488	1272.775	186783.996	227653.244	78165.08	57654.568	186783.996	227653.244	78165.08	57654.568
MM_RS03325	-0.806292900251714	0.252754291630424	0.518946653496085	221.566483663154	raw_counts / DESeq2 median-of-ratios (via riborex)	0.448	0.374	5.727	6.037	95.59	79.107	351.911	280.553	95.59	79.107	351.911	280.553
MM_RS03660	0.74702799072769	0.252587434881256	0.518946653496085	102.936061898474	raw_counts / DESeq2 median-of-ratios (via riborex)	0.056	0.065	0.263	0.696	11.984	13.858	15.162	30.635	11.984	13.858	15.162	30.635
MM_RS00790	-1.09853046774763	0.253251876303095	0.519562052478067	153.889834025035	raw_counts / DESeq2 median-of-ratios (via riborex)	0.1	0.153	3.42	3.462	21.196	32.552	222.457	154.894	21.196	32.552	222.457	154.894
MM_RS12560	-0.857806812364175	0.254470960181281	0.520436714514052	343.804955321203	raw_counts / DESeq2 median-of-ratios (via riborex)	0.743	0.261	4.586	4.99	157.235	56.203	287.357	222.46	157.235	56.203	287.357	222.46
MM_RS14495	-0.757893699317456	0.254049770321042	0.520436714514052	464.965585903391	raw_counts / DESeq2 median-of-ratios (via riborex)	0.693	0.346	2.788	2.534	148.063	73.078	160.998	119.506	148.063	73.078	160.998	119.506
MM_RS02265	0.730492646025601	0.254331660705064	0.520436714514052	202.837360726786	raw_counts / DESeq2 median-of-ratios (via riborex)	0.144	0.152	0.443	1.353	30.584	32.681	27.078	59.971	30.584	32.681	27.078	59.971
MM_RS15320	-0.69609365927061	0.254353164695966	0.520436714514052	1325.85441881786	raw_counts / DESeq2 median-of-ratios (via riborex)	690.923	906.236	1150.683	1235.723	146976.567	192952.656	69271.249	57898.031	146976.567	192952.656	69271.249	57898.031
MM_RS17520	-0.806962030365806	0.256762365237168	0.524714374406851	152.883615053891	raw_counts / DESeq2 median-of-ratios (via riborex)	0.137	0.054	1.466	1.324	28.806	11.82	85.055	60.067	28.806	11.82	85.055	60.067
MM_RS19185	-1.14700356314202	0.257038355872679	0.524739163404566	1811.98408830079	raw_counts / DESeq2 median-of-ratios (via riborex)	5.147	5.036	96.068	56.577	1102.732	1050.729	5286.914	2757.478	1102.732	1050.729	5286.914	2757.478
MM_RS10900	-0.771510562156595	0.257174144440852	0.524739163404566	153.115245451186	raw_counts / DESeq2 median-of-ratios (via riborex)	0.2	0.17	3.419	3.62	42.779	36.461	207.317	160.422	42.779	36.461	207.317	160.422
MM_RS06640	0.845055187103608	0.257413894197373	0.524820563790607	61.1050878262263	raw_counts / DESeq2 median-of-ratios (via riborex)	0.163	0.226	1.705	5.458	34.668	48.206	103.129	243.34	34.668	48.206	103.129	243.34
MM_RS12070	0.559776220535152	0.258907507990707	0.527456257551278	663.666076393611	raw_counts / DESeq2 median-of-ratios (via riborex)	0.268	0.288	1.016	2.514	56.95	61.602	60.119	112.875	56.95	61.602	60.119	112.875
MM_RS16420	0.735699088114515	0.259112527077146	0.527464725662469	703.901871698977	raw_counts / DESeq2 median-of-ratios (via riborex)	3.207	4.493	14.458	44.369	678.774	976.008	881.731	1940.337	678.774	976.008	881.731	1940.337
MM_RS10065	-0.812080643086311	0.259885431497789	0.527810628857845	145.143025236392	raw_counts / DESeq2 median-of-ratios (via riborex)	0.392	0.141	0.844	0.826	83.197	30.409	49.792	34.977	83.197	30.409	49.792	34.977
MM_RS01430	-0.703790037182062	0.259691998080505	0.527810628857845	722.564878206838	raw_counts / DESeq2 median-of-ratios (via riborex)	0.333	0.361	4.37	5.004	70.724	76.694	268.605	226.518	70.724	76.694	268.605	226.518
MM_RS15665	-0.616797059669394	0.259563549536929	0.527810628857845	427.354839247692	raw_counts / DESeq2 median-of-ratios (via riborex)	0.159	0.132	2.637	2.965	33.877	27.907	157.727	135.217	33.877	27.907	157.727	135.217
MM_RS08660	1.00822860592682	0.260355403666535	0.528304085136717	49.9719996487541	raw_counts / DESeq2 median-of-ratios (via riborex)	0.081	0.091	0.669	2.092	17.102	19.452	38.343	90.994	17.102	19.452	38.343	90.994
